sources,date_time,periode,day,vente
MENU CAGE,2022-01-02 17:30:00,4 A 7,Dim,0.0
MENU CAGE,2022-01-02 18:00:00,4 A 7,Dim,0.0
MENU CAGE,2022-01-02 18:30:00,4 A 7,Dim,0.0
MENU CAGE,2022-01-02 19:00:00,4 A 7,Dim,0.0
MENU CAGE,2022-01-02 19:30:00,7 A CL,Dim,0.0
MENU CAGE,2022-01-02 20:00:00,7 A CL,Dim,0.0
MENU CAGE,2022-01-02 20:30:00,7 A CL,Dim,0.0
MENU CAGE,2022-01-02 21:00:00,7 A CL,Dim,0.0
MENU CAGE,2022-01-02 21:30:00,7 A CL,Dim,0.0
MENU CAGE,2022-01-02 22:00:00,7 A CL,Dim,0.0
MENU CAGE,2022-01-02 22:30:00,7 A CL,Dim,0.0
MENU CAGE,2022-01-02 23:00:00,7 A CL,Dim,0.0
MENU CAGE,2022-01-02 23:30:00,7 A CL,Dim,0.0
MENU CAGE,2022-01-03 00:00:00,7 A CL,Lun,0.0
MENU CAGE,2022-01-03 00:30:00,7 A CL,Lun,0.0
MENU CAGE,2022-01-03 01:00:00,7 A CL,Lun,0.0
MENU CAGE,2022-01-03 01:30:00,7 A CL,Lun,0.0
MENU CAGE,2022-01-03 02:00:00,7 A CL,Lun,0.0
MENU CAGE,2022-01-03 02:30:00,7 A CL,Lun,0.0
MENU CAGE,2022-01-03 03:00:00,7 A CL,Lun,0.0
MENU CAGE,2022-01-03 03:30:00,7 A CL,Lun,0.0
MENU CAGE,2022-01-03 04:00:00,7 A CL,Lun,0.0
MENU CAGE,2022-01-03 04:30:00,7 A CL,Lun,0.0
MENU CAGE,2022-01-03 05:00:00,7 A CL,Lun,0.0
MENU CAGE,2022-01-03 05:30:00,7 A CL,Lun,0.0
